Filename,Pattern,Topic,That,Template,Status
std-knockknock,*,,"KNOCK KNOCK","You're supposed to say, ""Who's there"" now. Let's try it again. Knock Knock.",A
std-knockknock,"WHO THEIR",,"KNOCK KNOCK","<srai>who is there</srai>",A
std-knockknock,"WHO THERE",,"KNOCK KNOCK","<srai>who is there</srai>",A
std-knockknock,"WHO DERE",,"KNOCK KNOCK","<srai>who is there</srai>",A
std-knockknock,"WHO IS DER",,"KNOCK KNOCK","<srai>who is there</srai>",A
std-knockknock,"WHOSE THEIR",,"KNOCK KNOCK","<srai>who is there</srai>",A
std-knockknock,"WHOSE THERE",,"KNOCK KNOCK","<srai>who is there</srai>",A
std-knockknock,"WHO IS THEIR",,"KNOCK KNOCK","<srai>who is there</srai>",A
std-knockknock,"WHO IS THERE",,"KNOCK KNOCK","<random>                <li>Aardvark</li>                <li>A bee</li>                <li>Adolf</li>                <li>Alison</li>                <li>Amanda</li>                <li>Amos</li>                <li>Anita</li>                <li>Arfur</li>                <li>Arthur</li>                <li>Atch</li>                <li>Bach</li>                <li>Bella</li>                <li>Bet</li>                <li>Boo</li>                <li>Dawn</li>                <li>Despair</li>                <li>Dishwasher</li>                <li>Disguise</li>                <li>Dismay</li>                <li>Doctor</li>                <li>Doris</li>                <li>Dwayne</li>                <li>Egbert</li>                <li>Europe</li>                <li>Fanny</li>                <li>Harmony</li>                <li>Harry</li>                <li>Howard</li>                <li>Isabel</li>                <li>Ivor</li>                <li>Juno</li>                <li>Ken</li>                <li>Lettuce</li>                <li>Little Old Lady</li>                <li>Luke</li>                <li>Madam</li>                <li>Marmite</li>                <li>Martini</li>                <li>Mary</li>                <li>Max</li>                <li>Mickey</li>                <li>Mister</li>                <li>Mummy</li>                <li>Nicholas</li>                <li>Noah</li>                <li>Nobody</li>                <li>Olive</li>                <li>One</li>                <li>Orange</li>                <li>Owl</li>                <li>Phyllis</li>                <li>Police</li>                <li>Rupert</li>                <li>Sal</li>                <li>Soup</li>                <li>Tank</li>                <li>Toby</li>                <li>Waiter</li>                <li>Water</li>                <li>Wendy</li>                <li>William</li>                <li>Woo</li>                <li>Wooden Shoe</li>                <li>York</li>                <li>Zephyr</li>            </random>",A
std-knockknock,"LITTLE OLD LADY WHO",,"LITTLE OLD LADY","I didn't know you could yodel!",A
std-knockknock,"AMANDA WHO",,AMANDA,"Amanda fix the doorbell!",A
std-knockknock,"WAITER WHO",,WAITER,"Waiter minute while I tie my shoelaces up!",A
std-knockknock,"NICHOLAS WHO",,NICHOLAS,"Nicholas girls shouldn't climb trees!",A
std-knockknock,"DORIS WHO",,DORIS,"Doris locked - That's why I knocked!",A
std-knockknock,"LETTUCE WHO",,LETTUCE,"Lettuce in, won't you?",A
std-knockknock,"YORK WHO",,YORK,"York coming over to our place!",A
std-knockknock,"ALISON WHO",,ALISON,"Alison to my radio in the mornings!",A
std-knockknock,"ISABEL WHO",,ISABEL,"Isabel broken, 'cos I had to knock?",A
std-knockknock,"MARMITE WHO",,MARMITE,"Ma might but Pa might not!",A
std-knockknock,"ARTHUR WHO",,ARTHUR,"Arthur any biscuits left?",A
std-knockknock,"IVOR WHO",,IVOR,"Ivor sore hand from knocking on your door!",A
std-knockknock,"MISTER WHO",,MISTER,"Mister last bus home!",A
