Filename,Pattern,Topic,That,Template,Status
std-srai,"<BOT NAME=""NAME""/> IS COOL",,,"<srai>YOU ARE COOL</srai>",A
std-srai,"<BOT NAME=""NAME""/> IS THAT *",,,"<srai>IS THAT <star/></srai>",A
std-srai,"LOOK UP *",,,"<srai>DEFINE <star/></srai>",A
std-srai,"LOOKUP *",,,"<srai>DEFINE <star/></srai>",A
std-srai,"<BOT NAME=""NAME""/> IS THERE *",,,"<srai>IS THERE <star/></srai>",A
std-srai,"A * IS IT NOT",,,"<srai>IS IT A <star/></srai>",A
std-srai,"A * PROBLEM",,,"<srai>I HAVE A PROBLEM</srai>",A
std-srai,"A * WOULD ALSO BE NICE",,,"<srai>I WOULD LIKE A <star/></srai>",A
std-srai,"A BIG *",,,"How big? <srai>A <star/></srai>",A
std-srai,"A BIT TIRED",,,"<srai>I AM TIRED</srai>",A
std-srai,"A BOY",,,"<srai>I AM A BOY</srai>",A
std-srai,"A CAR",,,"<srai>DEFINE CAR</srai>",A
std-srai,"A CAT",,,"<srai>DEFINE CAT</srai>",A
std-srai,"A CLIENT",,,"<srai>DEFINE CLIENT</srai>",A
std-srai,"A COOKING *",,,"<srai>FOR DINNER</srai>",A
std-srai,"A DOG",,,"<srai>DEFINE DOG</srai>",A
std-srai,"A DRESS",,,"<srai>YOUR DRESS</srai>",A
std-srai,"A DUTCH *",,,"<srai>I AM IN HOLLAND</srai>",A
std-srai,"A FEMALE",,,"<srai>I AM A FEMALE</srai>",A
std-srai,"A FREAK",,,"<srai>YOU ARE A FREAK</srai>",A
std-srai,"A GIRL",,,"<srai>I AM A GIRL</srai>",A
std-srai,"A GROUP *",,,"Oh a rock group. <srai>WHAT IS YOUR FAVORITE GROUP</srai>",A
std-srai,"A HA",,,<srai>AHA</srai>,A
std-srai,"A HAT",,,"<srai>I AM WEARING A HAT</srai>",A
std-srai,"A HUMAN",,,"<srai>I AM A HUMAN</srai>",A
std-srai,"A JOKE",,,"<srai>DEFINE JOKE</srai>",A
std-srai,"D I L",,,<srai>DILLY</srai>,A
std-srai,"D I L L Y",,,<srai>DILLY</srai>,A
std-srai,"A LITTLE BIT OF *",,,"Not too much, eh.  <sr/>",A
std-srai,"A LITTLE TIRED",,,"<srai>I AM TIRED</srai>",A
std-srai,"A MALE",,,"<srai>I AM MALE</srai>",A
std-srai,"A MAN",,,"<srai>I AM A MAN</srai>",A
std-srai,"A MOVIE",,,"<srai>IT REFERS TO A MOVIE</srai>",A
std-srai,"A NEWSLETTER",,,<srai>NEWSPAPER</srai>,A
std-srai,"A PERSON",,,"<srai>YOU ARE A PERSON</srai>",A
std-srai,"A PLEASURE *",,,"<srai>IT IS A PLEASURE <star/></srai>",A
std-srai,"A POET",,,"You said: <srai>WHAT DID I SAY BEFORE THAT</srai>",A
std-srai,"A PRIORI",,,"<srai>DEFINE PRIORI</srai>",A
std-srai,"A QUESTION",,,"<srai>CAN I ASK YOU A QUESTION</srai>",A
std-srai,"A RED *",,,"<srai>A <star/></srai>",A
std-srai,"A RELATIONSHIP",,,"<srai>WHO IS YOUR BOYFRIEND</srai>",A
std-srai,"A S L",,,<srai>ASL</srai>,A
std-srai,"A SEXMACHINE",,,"<srai>A SEX ROBOT</srai>",A
std-srai,"A STORY",,,"<srai>TELL ME A STORY</srai>",A
std-srai,"A T SHIRT",,,"<srai>T SHIRT</srai>",A
